name	active
blockwishlist	1
contactform	1
dashactivity	1
dashtrends	1
dashgoals	1
dashproducts	1
graphnvd3	1
gridhtml	1
gsitemap	1
pagesnotfound	1
productcomments	1
ps_banner	1
ps_categorytree	1
ps_checkpayment	1
ps_contactinfo	1
ps_crossselling	1
ps_currencyselector	1
ps_customeraccountlinks	1
ps_customersignin	1
ps_customtext	1
ps_dataprivacy	1
ps_emailsubscription	1
ps_faviconnotificationbo	1
ps_featuredproducts	1
ps_imageslider	1
ps_languageselector	1
ps_linklist	1
ps_mainmenu	1
ps_searchbar	1
ps_sharebuttons	1
ps_shoppingcart	1
ps_socialfollow	1
ps_themecusto	1
ps_wirepayment	1
statsbestcategories	1
statsbestcustomers	1
statsbestproducts	1
statsbestsuppliers	1
statsbestvouchers	1
statscarrier	1
statscatalog	1
statscheckup	1
statsdata	1
statsforecast	1
statsnewsletter	1
statspersonalinfos	1
statsproduct	1
statsregistrations	1
statssales	1
statssearch	1
statsstock	1
welcome	1
psgdpr	1
ps_mbo	1
ps_buybuttonlite	1
ps_checkout	1
ps_facebook	1
blockreassurance	1
ps_facetedsearch	1
